Registre,Nom,Tipologia,Inscripció ,Capacitat,Adreça,Municipi,Districte,CP,Comarca,Telèfon,Titular,Qualificació,NIF
S07329,Pis Plaça Peixateria,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2009-01-22,4,"Pça.Peixateria, 17B, 3er 1ª",Vilanova i la Geltrú,,08800,Garraf,938933037,"Atra Clínic, SL",Entitat privada d'iniciativa mercantil,B62329917
S06690,Programa de suport a l'autonomia a la pròpia llar Fundació Vilagran Maristany,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2006-12-12,0,"Av. Unió, 18 Es.4, Baixos",Calonge,,17252,Baix Empordà,686269152,"FP Vilagran-Maristany, Vimar, d'Atenció a persones amb especials capacitats del Baix Empordà",Entitat privada d'iniciativa social,G17582123
S02281,Servei de Suport - Societat Sant Vicenç de Paül,Servei de suport social als serveis socials especialitzats,1993-11-16,0,"C.  Sant Sever, 6",Barcelona,1,08002,Barcelonès,933179339,Sociedad de San Vicente de Paül,Entitat privada d'iniciativa social,R0800033C
S08814,Servei d'ajuda a domicili del Consell Comarcal de la Conca de Barberà,Servei d'ajuda a domicili,2014-06-03,0,"C.  Sant Josep, 18",Montblanc,,43400,Conca de Barberà,977861232,Consell Comarcal de la Conca de Barberà,Entitat d'iniciativa pública,P9300007C
S07809,Institució Benèfica Amics dels Avis (SAD),Servei d'ajuda a domicili,2010-07-07,0,"C.  CreueTA, 51",Navarcles,,08270,Bages,938310037,"Sant Andreu Salut, Fundació Privada",Entitat privada d'iniciativa social,G58666983
S00101,Asilo de Ancianos Hermanitas de los Pobres Sant Salvador (servei de llar residència),Servei de llar residència per a gent gran de caràcter temporal o permanent,1988-09-22,33,"C.  Sant Salvador, 1",Barcelona,6,08012,Barcelonès,932185877,"Asilo en C. Sant Salvador, 1 - Hermanitas de los Pobres Cúria Provincial Província de Barcelona",Entitat privada d'iniciativa social,R0800763E
S00495,Unitat Bàsica d'Atenció Social Primària - Ajuntament de la Llagosta,Servei bàsic d'atenció social,1990-02-15,0,"C.  Mercat, s/n","Llagosta, la",,08120,Vallès Oriental,935607461,Ajuntament de la Llagosta,Entitat d'iniciativa pública,P0810400B
S03859,Servei d'orientació del Centre d'Atenció a Disminuïts Lleida,Servei d'orientació,1998-01-26,0,"Av. del Segre, 5",Lleida,,25007,Segrià,973244100,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S03237,Servei ocupacional d'inserció del Taller-Escola Sant Camil,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),1996-07-03,23,"C.  Ercilla, 57",Barcelona,7,08041,Barcelonès,934550766,Fundació de la Santa Creu,Entitat privada d'iniciativa social,G67116756
S07465,La llar del Bisaura,Servei d'ajuda a domicili,2009-06-19,0,"C.  Patis, 20",Sant Quirze de Besora,,08580,Osona,669622954,"La llar del Bisaura, SL",Entitat privada d'iniciativa mercantil,B63840458
S02974,Servei d'Habitatge Josep Padrós. Mossèn Anton Romeu-4,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1995-11-13,6,"C.  Mossèn Anton Romeu, 76-78, 2on 2ª",Badalona,,08912,Barcelonès,934643401,Institut Municipal de Serveis Personals de Badalona,Entitat d'iniciativa pública,P5801502E
S00767,Sant Feliu de Guíxols Gent Gran,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-09-20,90,"Pça.Miquel Murlà, s/n",Sant Feliu de Guíxols,,17220,Baix Empordà,972320130,Ajuntament de Sant Feliu de Guixols,Entitat d'iniciativa pública,P1717000B
S02706,Grup d'Ajuda Fraterna de la Parròquia de Santa Bernardeta del Barri de Torrebaró,Servei de suport social als serveis socials especialitzats,1995-02-14,0,"Trv.Castellfollit, 14",Barcelona,8,08033,Barcelonès,933503415,Parròquia de Santa Bernardeta,Entitat privada d'iniciativa social,R5800203A
S11011,Residencia Santa Olga II,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2023-03-09,25,"Ctr.de Barcelona, 105-113",Barberà del Vallès,,08210,Vallès Occidental,,"Medinaceli Residencia, S.L.U",Entitat privada d'iniciativa mercantil,B61165247
S00886,Centre Ocupacional del Bosc,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1990-11-21,60,"C.  Lluís Millet, 7",Mollet del Vallès,,08100,Vallès Oriental,935939353,Institut Municipal de Serveis als Discapacitats de Mollet del Vallès,Entitat d'iniciativa pública,P5812301I
S01018,Obra Social Cor de Maria,Servei de suport als serveis socials bàsics ( Distribució d'aliments),1991-01-15,0,"C.  Grassot, 32, bxs",Barcelona,6,08025,Barcelonès,934574995,Associació Obra Social Sanitària Cor de Maria,Entitat privada d'iniciativa social,G08861973
S01800,Colisée Cambrils,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1992-11-06,109,"C.  Camí Corralet, 21",Cambrils,,43850,Baix Camp,977792451,"La Saleta Care, SL",Entitat privada d'iniciativa mercantil,B96648563
S08205,Residencial Mas Piteu,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2011-12-20,95,"C.  Natzaret, 67-81",Barcelona,7,08035,Barcelonès,934342255,"Aditnalta Promocions, SL",Entitat privada d'iniciativa mercantil,B64230758
S00945,Centre Ocupacional Pedralbes,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1990-12-07,72,"C.  Can Mora, 7",Barcelona,5,08034,Barcelonès,932037730,Associació Centre Pedralbes,Entitat privada d'iniciativa social,G58403189
S04246,Centre residencial per a persones amb disminució Riudeperes,Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual,1999-04-28,56,"Ctr.Folgueroles, s/n",Calldetenes,,08519,Osona,938893365,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S05788,Residència Centre Tot Avis,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-12-23,24,"C.  Mura, 78",Terrassa,,08227,Vallès Occidental,937314999,"Centre Tot Avis, SL",Entitat privada d'iniciativa mercantil,B62188040
S06170,"Geros 4, Residència tercera edat",Servei de residència assistida per a gent gran de caràcter temporal o permanent,2005-03-22,25,"C.  Pelai, 9, prl",Barcelona,2,08001,Barcelonès,933010800,"Gestió de Residències, SL",Entitat privada d'iniciativa mercantil,B60708153
S01631,Residencia San Miguel Arcángel,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1992-05-28,25,"c.  Escipió, 17",Barcelona,5,08023,Barcelonès,934170582,"Residencia San Miguel Arcángel, S.L.",Entitat privada d'iniciativa mercantil,B58306853
S02370,Centre de dia per a gent gran de la Verneda,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1994-02-21,30,"C.  Cantàbria, 28",Barcelona,10,08020,Barcelonès,932780012,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S03783,Servei d'acció social. Parròquia Mare de Déu de la Salut,Servei de suport social als serveis socials especialitzats,1997-10-24,0,"C.  Clavell, 6, bxs",Barcelona,6,08024,Barcelonès,,Parròquia Mare de Déu de la Salut,Entitat privada d'iniciativa social,R5800010J
S09682,Serveis Socials Bàsics de l'Ajuntament de Sant Cebrià de Vallalta,Servei bàsic d'atenció social,2018-07-02,0,"Av. Maresme, 21",Sant Cebrià de Vallalta,,08396,Maresme,937631024,Ajuntament de Sant Cebrià de Vallalta,Entitat d'iniciativa pública,P0820200D
S04238,ITD (Servei sòciosanitari a domicili),Servei d'ajuda a domicili,1999-04-26,0,"C.  Agregació, 6",Barcelona,7,08041,Barcelonès,933515516,"I.T.D. Socio Sanitari, SL",Entitat privada d'iniciativa mercantil,B62767843
S10821,Llar Alarona,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2022-03-21,24,"C.  Mare de Déu del Corredor, 3",Mataró,,08303,Maresme,937904748,Fundació Privada El Maresme,Entitat privada d'iniciativa social,G60703303
S07003,Servei Prelaboral Osona,Servei prelaboral,2008-01-17,35,C.  Josep Maria Selva núm 2,Vic,,08500,Osona,938895059,Fundació Privada Centre Mèdic Psico-Pedagògic d'Osona,Entitat privada d'iniciativa social,G60703386
S06451,Servei de Transport Adaptat Integra,Servei de transport adaptat,2006-02-28,0,"Urb.Les Fonts, S/n - Aptat de Correus, 107",Olot,,17800,Garrotxa,972262390,"INTEGRA, Associació per la Inclusió de Col·lectius de Risc",Entitat privada d'iniciativa social,G17035445
S06951,Servei d'ajuda domiciliària Sent Actiu,Servei d'ajuda a domicili,2007-10-17,0,"C.  Roger de flor, 38, bxs",Mataró,,08302,Maresme,937412648,Sent Actiu. SL,Entitat privada d'iniciativa mercantil,B63896252
S04223,Centre de dia Obra Social Benèfica de Castellar del Vallès,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-04-08,35,"C.  Mestre Ros, 7-9",Castellar del Vallès,,08211,Vallès Occidental,937145389,Obra Social Benèfica de Castellar del Vallès,Entitat privada d'iniciativa social,G08571846
S01897,Unitat Bàsica d'Atenció Social Primària de l'Ajuntament de Gaià,Servei bàsic d'atenció social,1993-01-18,0,"Pça.de Santa Maria, s/n",Gaià,,08679,Bages,938390151,Ajuntament de Gaià,Entitat d'iniciativa pública,P0808900E
S04684,Talhèr ocupacional ADDA (servei ocupacional d'inserció),Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),2000-10-19,9,"C.  Polígon Industriau Incasol, 25",Vielha e Mijaran,,25530,Val d'Aran,973640999,ADDA (Associació Discapacitats d'Aràn),Entitat privada d'iniciativa social,G25454604
S02277,Servei d'Atenció Social Primària. Ajuntament de Castellnou de Bages,Servei bàsic d'atenció social,1993-11-05,0,"Pça.de l'Església, s/n",Castellnou de Bages,,08251,Bages,938272091,Ajuntament de Castellnou de Bages,Entitat d'iniciativa pública,P0806100D
S07850,Atenció domiciliària a la dependència Sant Quirze del Vallès,Servei d'ajuda a domicili,2010-08-25,0,"Av. Antoni Gaudí, 43",Sant Quirze del Vallès,,08192,Vallès Occidental,619010704,"Atenció domiciliària a la dependència Sant Quirze del Vallès, SL",Entitat privada d'iniciativa mercantil,B65324741
S00353,Servei bàsic d'atenció social,Servei bàsic d'atenció social,1989-10-20,0,"Pça.Don Miguel de Clariana, 3",Vic,,08500,Osona,938852552,Ajuntament de Vic,Entitat d'iniciativa pública,P0829900J
S07712,Residència Teresa Duran,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2010-03-26,134,"Av. Salvador Allende, 45",Cornellà de Llobregat,,08940,Baix Llobregat,933750010,Fundació per a l'atenció a persones dependents,Entitat privada d'iniciativa social,G63908669
S08418,Sempre al teu costat (FISS Lleida),Servei d'ajuda a domicili,2012-09-04,0,"C.  Segrià, 40, bxs",Lleida,,25006,Segrià,973264028,"Sempre al teu costat, SLU (FISS Lleida)",Entitat privada d'iniciativa mercantil,B25742990
S09075,SAD Ingala Salud,Servei d'ajuda a domicili,2015-07-16,0,"Pge.Bocabella,, 12, bxs.",Barcelona,2,08013,Barcelonès,669029007,"Ingala Salud, SL",Entitat privada d'iniciativa mercantil,B67377192
S08141,Llar residència carrer Vitòria,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2011-10-03,14,"C.  Vitòria, 16",Mataró,,08303,Maresme,937904748,Fundació Privada El Maresme,Entitat privada d'iniciativa social,G60703303
S00535,Unitat Bàsica d'Atenció Social Primària - Ajuntament de Vallirana,Servei bàsic d'atenció social,1990-03-15,0,"C.  Major, 329",Vallirana,,08759,Baix Llobregat,936600812,Ajuntament de Vallirana,Entitat d'iniciativa pública,P0829600F
S03892,Casal de la Santa Creu (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,1998-02-19,58,"C.  Gorgues, 5",Santa Maria de Corcó,,08511,Osona,938568051,Casal de la Santa Creu - Germanes Hospitalàries de la Santa Creu,Entitat privada d'iniciativa social,R0800791F
S01547,Residència d'Avis de Sant Cugat del Vallès,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1992-03-04,68,"C.  Santa Rosa, s/n",Sant Cugat del Vallès,,08190,Vallès Occidental,935891638,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S06829,Servei de menjador Centre de dia Sant Feliu de Pallerols,Servei de menjador social,2007-06-12,8,"Trv.del Roser, 3-5",Sant Feliu de Pallerols,,17174,Garrotxa,972260202,"Gestora d'Administració i Atenció a la Vellesa d'Olot i Comarca, Societat Limitada",Entitat privada d'iniciativa mercantil,B17403072
S07226,Centre de vida independent,Servei de centre per a l'autonomia personal,2008-09-26,0,"Psg.Vall d'Hebrón, 159-169",Barcelona,7,08035,Barcelonès,901889998,Associació per la vida independent,Entitat privada d'iniciativa social,G64570617
S11112,Residència Geriàtrica Adana,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2023-07-13,22,"C.  Saragossa, 8",Terrassa,,08228,Vallès Occidental,931.267.071,"Olaris Egara, SL",Entitat privada d'iniciativa mercantil,B05416599
S09515,Pis C/ Pare Ignasi Puig,Servei d'acolliment residencial d'urgència,2017-11-24,3,"C.  Pare Ignasi Puig, 5, 1r 2a",Manresa,,08240,Bages,938734928,Fundació del Convent de Santa Clara,Entitat privada d'iniciativa social,G65396517
S05420,Programa de suport a l'autonomia a la pròpia llar Fundació Hospital Sant Pere Claver,Servei de suport a l'autonomia a la pròpia llar per a persones amb problemàtica social derivada de malaltia mental,2002-12-19,0,"C.  Vila i Vilà, 16",Barcelona,3,08004,Barcelonès,934428829,Sant Pere Claver Fundació Serveis Socials,Entitat privada d'iniciativa social,G65662819
S05318,Residència el Vellet,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2002-10-07,24,"C.  Rambla, 25",Banyoles,,17820,Pla de l'Estany,972575493,"Residències 3a Edat El Vellet, SL",Entitat privada d'iniciativa mercantil,B17687898
S04277,Centre de dia Baells,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-05-28,4,"C.  Sant Miquel, 32",Sabadell,,08208,Vallès Occidental,937235522,"Residències geriàtriques Baells-Carrera, SL",Entitat privada d'iniciativa mercantil,B62282173
S00794,Residència Parc del Guinardó,Servei de residència assistida per a gent gran de caràcter temporal o permanent,1990-10-16,45,"C.  Garriga i Roca, 62-64",Barcelona,7,08041,Barcelonès,934500749,Ajuntament de Barcelona,Entitat d'iniciativa pública,P0801900B
S09586,Servei de valoració de la discapacitat-EVO54,Servei de valoració,2018-02-13,0,"C.  Francesc Pla ""El Vigatà"", 1",Vic,,08500,Osona,938891111,Consorci Hospitalari de Vic,Entitat d'iniciativa pública,Q5856102H
S07899,Servei d'atenció integral a les persones grans en l'àmbit rural- Aj. d'Agullana,Servei d'atenció integral a les persones grans en l'àmbit rural,2010-11-15,24,"C.  Dolors Gomis, 11",Agullana,,17707,Alt Empordà,972535206,Ajuntament d'Agullana,Entitat d'iniciativa pública,P1700100I
S05466,Residencia San José. Terrassa (servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2003-02-20,60,"C.  Concili Egarenc, 22",Terrassa,,08224,Vallès Occidental,937885028,Congregación Hijas de San José - Residencia San José,Entitat privada d'iniciativa social,R2800240J
S08104,SOI per a persones amb discapacitat intel.lectual de Santa Coloma de Farners,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),2011-07-14,16,"C.  Corredor Verge Maria, 5-7",Santa Coloma de Farners,,17430,Selva,972840495,Fundació Privada Astres,Entitat privada d'iniciativa social,G17695768
S08999,Centre de distribució d'aliments (CDA) d'Olot-Garrotxa,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2015-03-20,0,"Av. Girona, 29",Olot,,17800,Garrotxa,972265795,Càritas Diocesana de Girona,Entitat privada d'iniciativa social,R1700016G
S06297,Club Social Marianao,Servei de club social (mòdul A / mòdul B),2005-07-19,47,"Pça.Mercè Rodoreda, 5",Sant Boi de Llobregat,,08830,Baix Llobregat,936303062,Fundació Marianao (casal infantil i juvenil de Marianao),Entitat privada d'iniciativa social,G61740627
S01902,Unitat Bàsica d'Atenció Social Primària. Sector IV B. Consell Comarcal de la Selva,Servei bàsic d'atenció social,1993-01-18,0,"Pça.de l'Ajuntament, 8",Caldes de Malavella,,17455,Selva,972470005,Consell Comarcal de la Selva,Entitat d'iniciativa pública,P6700002F
S07501,Residència Gran Via Parc (Residència Assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2009-07-23,151,"C.  Mandoni, 11",Barcelona,3,08004,Barcelonès,932964002,"Gran Via Parc, SL",Entitat privada d'iniciativa mercantil,B65034225
S06760,Centre d'acolliment rural diürn de Benissanet,Servei d'atenció integral a les persones grans en l'àmbit rural,2007-03-09,10,"Pça.Catalunya, 5, 2on",Benissanet,,43747,Ribera d'Ebre,977407751,Ajuntament de Benissanet,Entitat d'iniciativa pública,P4302600D
S11109,SAD Luis de Carvalho Lopes,Servei d'ajuda a domicili,2023-07-12,0,"C.  Abat Escarre, 06, bxos",Lleida,,25001,Segrià,679.266.832,Luis de Carvalho Lopes,Entitat privada d'iniciativa mercantil,52035069F
S07103,Vitamagna (Habitatges tutelats),Servei d' habitatge tutelat per a gent gran de caràcter temporal o permanent,2008-05-14,56,"C.  Ferrer de Blanes, 32",Sabadell,,08203,Vallès Occidental,937109423,"EXPLOGERON, SL",Entitat privada d'iniciativa mercantil,B64243173
S11057,SAD Ohana,Servei d'ajuda a domicili,2023-04-12,0,"C.  Montflorit, 150 local, Baixos 3ª",Gavà,,08850,Baix Llobregat,931690472,"Centro de dia Ohana, SL",Entitat privada d'iniciativa mercantil,B66891433
S09691,SAD Centre de dia Cim d'Estela,Servei d'ajuda a domicili,2018-07-16,0,"Pge.Arquitecte Porta, s/n",Berga,,08600,Berguedà,938221707,"Centre de dia Cim d'Estela, SL",Entitat privada d'iniciativa mercantil,B66465733
S01155,Pis-Residència A.S.S.A.,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,1991-03-27,7,"C.  Mare de Deu del Carme, 34, 3er 3ª",Sant Adrià de Besòs,,08930,Barcelonès,934621038,Associació Pro-Disminuïts Psíquics de Sant Adrià (A.S.S.A.),Entitat privada d'iniciativa social,G08440307
S06847,CDM Residencial (Servei de residència assistida),Servei de residència assistida per a gent gran de caràcter temporal o permanent,2007-06-26,76,"Psg.de la Misericòrdia, 41",Canet de Mar,,08360,Maresme,937956229,"Hirundo Rustica, SL",Entitat privada d'iniciativa mercantil,B63012264
S08747,"EBASP Pça. de la Vila, 12 (Primera acollida i Promoció de l'autonomia i atenció a la dependència)",Servei bàsic d'atenció social,2014-03-06,0,"Pça.de la Vila, 12, 1er",Sant Adrià de Besòs,,08930,Barcelonès,933812004,Ajuntament de Sant Adrià de Besòs,Entitat d'iniciativa pública,P0819300E
S00888,Servei de teràpia ocupacional les Acàcies,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1990-11-21,92,"C.  Itàlia, 46 (Polígon Industrial Mas Firal)",Figueres,,17600,Alt Empordà,,Fundació Privada Altem,Entitat privada d'iniciativa social,G17603325
S05298,Servei de suport a l'autonomia a la pròpia llar Alba,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2002-09-25,0,"Av. Onze de setembre, s/n",Tàrrega,,25300,Urgell,973312221,Associació Alba,Entitat privada d'iniciativa social,G25014077
S06283,Caser residencial Sant Cugat,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2005-06-29,174,"Psg.Sevilla, 1",Sant Cugat del Vallès,,08195,Vallès Occidental,935877200,"Caser Residencial, SAU",Entitat privada d'iniciativa mercantil,A81228520
S04168,Centre de dia per a gent gran Espanya Industrial,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-02-04,24,"C.  Muntadas, 35",Barcelona,3,08014,Barcelonès,933321771,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S01559,Centre de dia per a gent gran Font Verda de Granollers,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1992-03-16,23,"Psg.de la Muntanya, 23",Granollers,,08400,Vallès Oriental,938795316,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S02567,Centre Condal d'Artesania per Adolescents Psicòtics,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),1994-11-23,22,"C.  Muntaner, 217, prl 2ª",Barcelona,2,08036,Barcelonès,934109334,"Associació ""Centro Condal de Formación Profesional Especial""",Entitat privada d'iniciativa social,G58575796
S04338,Llar Josep Estivill,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,1999-07-26,5,"C.  Josep Estivill, 31, 2on 1ª",Barcelona,9,08027,Barcelonès,932114474,Associació AREP per a la Salut Mental,Entitat privada d'iniciativa social,G08631574
S08529,Centre de dia Putxet,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2013-04-24,8,"C.  Roca i Batlle, 31-35, tor",Barcelona,5,08023,Barcelonès,932540440,"Putxet Servicios Asistenciales, SL",Entitat privada d'iniciativa mercantil,B02890002
S08506,Ziga-Zaga,Servei de suport als serveis socials bàsics,2013-04-03,0,"C.  General Manso, 14, bxs",Cornellà de Llobregat,,08940,Baix Llobregat,934744950,"Ziga-Zaga, SL",Entitat privada d'iniciativa mercantil,B60136520
S04822,Eixample 1,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2001-04-19,5,"C.  Aragó, 431, 2on 1ª",Barcelona,2,08013,Barcelonès,934273358,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,Entitat privada d'iniciativa social,G59780494
S06595,Centre de dia per a gent gran Sant Antoni,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2006-09-26,40,"C.  Marquès de Campo Sagrado, 31-33",Barcelona,3,08015,Barcelonès,933294649,Generalitat de Catalunya,Entitat d'iniciativa pública,S0811001G
S07900,Servei municipal de prevenció de drogodependències,Servei de prevenció d'addiccions,2010-11-15,0,"C.  Europa, 35, bxs",Amposta,,43870,Montsià,977703668,Ajuntament d'Amposta,Entitat d'iniciativa pública,P4301400J
S08629,Associació Sociocultural Maná,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2013-08-21,0,"c.  Cantabria, 12","Franqueses del Vallès, les",,08520,Vallès Oriental,938496666,Associació Sociocultural Maná,Entitat privada d'iniciativa social,G65871451
S05026,Residencial Bacumar,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2001-11-30,25,"C.  Domènech i Montaner, 2-10",Barcelona,7,08035,Barcelonès,934286466,"Residencial Bacumar, SL",Entitat privada d'iniciativa mercantil,B62328018
S08902,Centre de Dia de la Residència Nostra Sra. del Remei,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2014-10-29,7,"c.  Nou, 2",Arenys de Munt,,08358,Maresme,937951086,Fundació privada residència geriàtrica Nostra Senyora del Remei,Entitat privada d'iniciativa social,G62269097
S04938,Centre de dia Moll de la Fusta 2,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2001-09-06,1,"C.  Anselm del Riu, 86-92",Santa Coloma de Gramenet,,08924,Barcelonès,934682257,"Residència Moll de la Fusta, SL",Entitat privada d'iniciativa mercantil,B61293015
S05456,CAE Integra,Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual,2003-02-10,16,"Urb.les Fonts, s/n",Olot,,17800,Garrotxa,972262390,"INTEGRA, Associació per la Inclusió de Col·lectius de Risc",Entitat privada d'iniciativa social,G17035445
S06360,Centre de desenvolupament infantil i atenció precoç. CDIAP les Garrigues,Servei d'atenció precoç,2005-10-31,0,"C.  Angel Guimerà, 15",Juneda,,25430,Garrigues,973150330,Associació Talma (servei i suport a les persones),Entitat privada d'iniciativa social,G25015751
S10313,Servei d'Atenció a domicili Pau Olesa,Servei d'ajuda a domicili,2020-03-02,0,"C.  Sant Salvador, 5, loc 11ª",Olesa de Montserrat,,08640,Baix Llobregat,695608051,"Plataforma Atenció Usuaris Olesa, SCCL",Entitat privada d'iniciativa social,F67489005
S08460,Assiscat Salut,Servei d'ajuda a domicili,2012-11-29,0,"C.  València, 266, at 3ª",Barcelona,2,08007,Barcelonès,934676666,"Assiscat Salut, SL",Entitat privada d'iniciativa mercantil,B65780389
S09552,Programa suport autonomia pròpia llar-disc. intel.,Servei de suport a l'autonomia a la pròpia llar per a persones amb discapacitat intel·lectual,2017-12-19,0,"C.  Pujades, 350, 6è A",Barcelona,10,08019,Barcelonès,937273744,Fundació Privada Vella Terra,Entitat privada d'iniciativa social,G62813233
S04795,Club social de la Llum,Servei de club social (mòdul A / mòdul B),2001-03-15,24,"C.  Agricultura, 4-8",Mollet del Vallès,,08100,Vallès Oriental,935708648,Fundació Privada Salut Mental Catalunya,Entitat privada d'iniciativa social,G64746613
S08462,Servei de suport a la cobertura de necessitats bàsiques,Servei de suport als serveis socials bàsics ( Distribució d'aliments),2012-12-03,0,"C.  Closa del Llop, s/n","Escala, l'",,17130,Alt Empordà,972773429,Església Evangèlica El Remanente,Entitat privada d'iniciativa social,R1700578F
S10849,Suport a la capacitat jurídica persones grans,Servei de tutela per a gent gran,2022-06-10,0,"Rbl.Rambla, 21, 1r A",Figueres,,17600,Alt Empordà,617684192,Fundació Tutelar de l'Empordà,Entitat privada d'iniciativa social,G17715293
S04441,Servei Ocupacional d'Inserció Ciutat de Terrassa,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),1999-11-23,50,"Pça.del Tint, 6",Terrassa,,08224,Vallès Occidental,937311009,Prodiscapacitats Fundació Privada Terrassenca,Entitat privada d'iniciativa social,G60941861
S05043,Centre de dia Toribi Duran,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2001-12-13,30,"C.  Roses, 19",Castelló d'Empúries,,17486,Alt Empordà,972250426,Fundació Privada Hospital de Santa Llúcia,Entitat privada d'iniciativa social,G17685835
S09668,Llar amb Suport Segle XX,Servei de llar amb suport temporal o permanent per a persones amb problemàtica social derivada de malaltia mental,2018-06-01,4,"C.  Segle XX, 63 (cant. c/ Mascaró, 33)",Barcelona,7,08032,Barcelonès,934351579,Fundació Privada Via Activa,Entitat privada d'iniciativa social,G60566668
S04248,Centre de dia Marina per a la 3a Edat,Servei de centre de dia per a gent gran de caràcter temporal o permanent,1999-04-30,40,"C.  Marina, 9-11",Santa Coloma de Gramenet,,08921,Barcelonès,933853104,"Taglocima, SL",Entitat privada d'iniciativa mercantil,B61593968
S01587,Centre de desenvolupament infantil i atenció precoç del Berguedà,Servei d'atenció precoç,1992-04-23,0,"Pça.Europa, 9",Berga,,08600,Berguedà,938211109,Fundació Privada Pro Disminuïts Psíquics del Berguedà,Entitat privada d'iniciativa social,G63579452
S02696,Càritas Parroquial de Sant Pere del Masnou,Servei de suport social als serveis socials especialitzats,1995-02-10,0,"Pça.de l'Església, 5","Masnou, el",,08320,Maresme,935550706,Parròquia de Sant Pere del Masnou,Entitat privada d'iniciativa social,R5800114J
S08676,SOI Canonge Muntanyà,Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI),2013-11-06,14,"Pge.Canonge Muntanyà, 2, bxs",Manresa,,08242,Bages,938272300,Fundació Ampans,Entitat privada d'iniciativa social,G08444671
S04925,Servei de teràpia ocupacional Canigó,Servei de centre de dia de teràpia ocupacional per a persones amb discapacitat intel·lectual (STO),2001-07-26,40,"Av. Vallvidrera, 22",Barcelona,5,08017,Barcelonès,932032570,Fundació Privada Canigó,Entitat privada d'iniciativa social,G60604204
S06106,Residència Moll de la Fusta,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2004-12-22,25,"C.  Varsòvia, 36",Barcelona,7,08041,Barcelonès,934125441,"Residència Moll de la Fusta, SL",Entitat privada d'iniciativa mercantil,B61293015
